start,stop,please,the,then,turn,make,kara,dae,band,kare,geyser,batti,balab,jala,karne,garam,light,machine,water,dark,ac,fan,pankha,tv
strt,stp,pls,d,thn,trn,mk,kar,de,bnd,kre,geysr,btti,blb,jla,krne,grm,lght,mchne,wtr,drk,aciya,fn,pnkha,television
,,plz,,dn,,mak,kr,da,,,gysr,bathi,balb,,,,,machene,,,aircon,,pnka,tlvision
,,plss,,,,,,dhi,,,water heater,,bulb,,,,,,,,airconditioner,,panka,
,,plzz,,,,,,dahi,,,wtr htr,,,,,,,,,,vatanukulak,,,
,,,,,,,,,,,wtr heater,,,,,,,,,,,,,
,,,,,,,,,,,water htr,,,,,,,,,,,,,
,,,,,,,,,,,gayser,,,,,,,,,,,,,
,,,,,,,,,,,giiser,,,,,,,,,,,,,
,,,,,,,,,,,giser,,,,,,,,,,,,,
,,,,,,,,,,,geeser,,,,,,,,,,,,,
